Feature,CURIE,Definition,A4,ADNI,AIBL,ANM,EMIF,EPAD,JADNI,NACC,ROSMAP,DOD-ADNI,PREVENT-AD,ARWIBO,I-ADNI,EDSD,OASIS,PharmaCog,VITA,WMH-AD,VASCULAR,ABVIB,BRACE,OMOP,AMED,ALFA,API Generation 1,API Generation 2,GERAS-I,GERAS-US,GERAS-J,GERAS-II,PREVENT Dementia
Left Caudalanteriorcingulate Meancurv From Qdec,,,,,,,,,lh_(caudalanteriorcingulate)MeanCurv,,,,,lh_caudalanteriorcingulate_meancurv,lh_caudalanteriorcingulate_meancurv,lh_caudalanteriorcingulate_meancurv,lh_caudalanteriorcingulate_meancurv,lh_caudalanteriorcingulate_meancurv,lh_caudalanteriorcingulate_meancurv,lh_caudalanteriorcingulate_meancurv,,,,,,,,,,,,,
Left Caudalmiddlefrontal Meancurv From Qdec,,,,,,,,,lh_(caudalmiddlefrontal)MeanCurv,,,,,lh_caudalmiddlefrontal_meancurv,lh_caudalmiddlefrontal_meancurv,lh_caudalmiddlefrontal_meancurv,lh_caudalmiddlefrontal_meancurv,lh_caudalmiddlefrontal_meancurv,lh_caudalmiddlefrontal_meancurv,lh_caudalmiddlefrontal_meancurv,,,,,,,,,,,,,
Left Cuneus Meancurv From Qdec,,,,,,,,,lh_(cuneus)MeanCurv,,,,,lh_cuneus_meancurv,lh_cuneus_meancurv,lh_cuneus_meancurv,lh_cuneus_meancurv,lh_cuneus_meancurv,lh_cuneus_meancurv,lh_cuneus_meancurv,,,,,,,,,,,,,
Left Entorightinal Meancurv From Qdec,,,,,,,,,lh_(entorhinal)MeanCurv,,,,,lh_entorhinal_meancurv,lh_entorhinal_meancurv,lh_entorhinal_meancurv,lh_entorhinal_meancurv,lh_entorhinal_meancurv,lh_entorhinal_meancurv,lh_entorhinal_meancurv,,,,,,,,,,,,,
Left Fusiform Meancurv From Qdec,,,,,,,,,rh_(fusiform)MeanCurv,,,,,lh_fusiform_meancurv,lh_fusiform_meancurv,lh_fusiform_meancurv,lh_fusiform_meancurv,lh_fusiform_meancurv,lh_fusiform_meancurv,lh_fusiform_meancurv,,,,,,,,,,,,,
Left Inferiorparietal Meancurv From Qdec,,,,,,,,,lh_(inferiorparietal)MeanCurv,,,,,lh_inferiorparietal_meancurv,lh_inferiorparietal_meancurv,lh_inferiorparietal_meancurv,lh_inferiorparietal_meancurv,lh_inferiorparietal_meancurv,lh_inferiorparietal_meancurv,lh_inferiorparietal_meancurv,,,,,,,,,,,,,
Left Inferiortemporal Meancurv From Qdec,,,,,,,,,lh_(inferiortemporal)MeanCurv,,,,,lh_inferiortemporal_meancurv,lh_inferiortemporal_meancurv,lh_inferiortemporal_meancurv,lh_inferiortemporal_meancurv,lh_inferiortemporal_meancurv,lh_inferiortemporal_meancurv,lh_inferiortemporal_meancurv,,,,,,,,,,,,,
Left Isthmuscingulate Meancurv From Qdec,,,,,,,,,lh_(isthmuscingulate)MeanCurv,,,,,lh_isthmuscingulate_meancurv,lh_isthmuscingulate_meancurv,lh_isthmuscingulate_meancurv,lh_isthmuscingulate_meancurv,lh_isthmuscingulate_meancurv,lh_isthmuscingulate_meancurv,lh_isthmuscingulate_meancurv,,,,,,,,,,,,,
Left Lateraloccipital Meancurv From Qdec,,,,,,,,,lh_(lateraloccipital)MeanCurv,,,,,lh_lateraloccipital_meancurv,lh_lateraloccipital_meancurv,lh_lateraloccipital_meancurv,lh_lateraloccipital_meancurv,lh_lateraloccipital_meancurv,lh_lateraloccipital_meancurv,lh_lateraloccipital_meancurv,,,,,,,,,,,,,
Left Lateralorbitofrontal Meancurv From Qdec,,,,,,,,,lh_(lateralorbitofrontal)MeanCurv,,,,,lh_lateralorbitofrontal_meancurv,lh_lateralorbitofrontal_meancurv,lh_lateralorbitofrontal_meancurv,lh_lateralorbitofrontal_meancurv,lh_lateralorbitofrontal_meancurv,lh_lateralorbitofrontal_meancurv,lh_lateralorbitofrontal_meancurv,,,,,,,,,,,,,
Left Lingual Meancurv From Qdec,,,,,,,,,lh_(lingual)MeanCurv,,,,,lh_lingual_meancurv,lh_lingual_meancurv,lh_lingual_meancurv,lh_lingual_meancurv,lh_lingual_meancurv,lh_lingual_meancurv,lh_lingual_meancurv,,,,,,,,,,,,,
Left Medialorbitofrontal Meancurv From Qdec,,,,,,,,,lh_(medialorbitofrontal)MeanCurv,,,,,lh_medialorbitofrontal_meancurv,lh_medialorbitofrontal_meancurv,lh_medialorbitofrontal_meancurv,lh_medialorbitofrontal_meancurv,lh_medialorbitofrontal_meancurv,lh_medialorbitofrontal_meancurv,lh_medialorbitofrontal_meancurv,,,,,,,,,,,,,
Left Middletemporal Meancurv From Qdec,,,,,,,,,lh_(middletemporal)MeanCurv,,,,,lh_middletemporal_meancurv,lh_middletemporal_meancurv,lh_middletemporal_meancurv,lh_middletemporal_meancurv,lh_middletemporal_meancurv,lh_middletemporal_meancurv,lh_middletemporal_meancurv,,,,,,,,,,,,,
Left Parahippocampal Meancurv From Qdec,,,,,,,,,lh_(parahippocampal)MeanCurv,,,,,lh_parahippocampal_meancurv,lh_parahippocampal_meancurv,lh_parahippocampal_meancurv,lh_parahippocampal_meancurv,lh_parahippocampal_meancurv,lh_parahippocampal_meancurv,lh_parahippocampal_meancurv,,,,,,,,,,,,,
Left Paracentral Meancurv From Qdec,,,,,,,,,lh_(paracentral)MeanCurv,,,,,lh_paracentral_meancurv,lh_paracentral_meancurv,lh_paracentral_meancurv,lh_paracentral_meancurv,lh_paracentral_meancurv,lh_paracentral_meancurv,lh_paracentral_meancurv,,,,,,,,,,,,,
Left Parsopercularis Meancurv From Qdec,,,,,,,,,lh_(parsopercularis)MeanCurv,,,,,lh_parsopercularis_meancurv,lh_parsopercularis_meancurv,lh_parsopercularis_meancurv,lh_parsopercularis_meancurv,lh_parsopercularis_meancurv,lh_parsopercularis_meancurv,lh_parsopercularis_meancurv,,,,,,,,,,,,,
Left Parsorbitalis Meancurv From Qdec,,,,,,,,,lh_(parsorbitalis)MeanCurv,,,,,lh_parsorbitalis_meancurv,lh_parsorbitalis_meancurv,lh_parsorbitalis_meancurv,lh_parsorbitalis_meancurv,lh_parsorbitalis_meancurv,lh_parsorbitalis_meancurv,lh_parsorbitalis_meancurv,,,,,,,,,,,,,
Left Parstriangularis Meancurv From Qdec,,,,,,,,,lh_(parstriangularis)MeanCurv,,,,,lh_parstriangularis_meancurv,lh_parstriangularis_meancurv,lh_parstriangularis_meancurv,lh_parstriangularis_meancurv,lh_parstriangularis_meancurv,lh_parstriangularis_meancurv,lh_parstriangularis_meancurv,,,,,,,,,,,,,
Left Pericalcarine Meancurv From Qdec,,,,,,,,,lh_(pericalcarine)MeanCurv,,,,,lh_pericalcarine_meancurv,lh_pericalcarine_meancurv,lh_pericalcarine_meancurv,lh_pericalcarine_meancurv,lh_pericalcarine_meancurv,lh_pericalcarine_meancurv,lh_pericalcarine_meancurv,,,,,,,,,,,,,
Left Postcentral Meancurv From Qdec,,,,,,,,,lh_(postcentral)MeanCurv,,,,,lh_postcentral_meancurv,lh_postcentral_meancurv,lh_postcentral_meancurv,lh_postcentral_meancurv,lh_postcentral_meancurv,lh_postcentral_meancurv,lh_postcentral_meancurv,,,,,,,,,,,,,
Left Posteriorcingulate Meancurv From Qdec,,,,,,,,,lh_(posteriorcingulate)MeanCurv,,,,,lh_posteriorcingulate_meancurv,lh_posteriorcingulate_meancurv,lh_posteriorcingulate_meancurv,lh_posteriorcingulate_meancurv,lh_posteriorcingulate_meancurv,lh_posteriorcingulate_meancurv,lh_posteriorcingulate_meancurv,,,,,,,,,,,,,
Left Precentral Meancurv From Qdec,,,,,,,,,lh_(precentral)MeanCurv,,,,,lh_precentral_meancurv,lh_precentral_meancurv,lh_precentral_meancurv,lh_precentral_meancurv,lh_precentral_meancurv,lh_precentral_meancurv,lh_precentral_meancurv,,,,,,,,,,,,,
Left Precuneus Meancurv From Qdec,,,,,,,,,lh_(precuneus)MeanCurv,,,,,lh_precuneus_meancurv,lh_precuneus_meancurv,lh_precuneus_meancurv,lh_precuneus_meancurv,lh_precuneus_meancurv,lh_precuneus_meancurv,lh_precuneus_meancurv,,,,,,,,,,,,,
Left Rostralanteriorcingulate Meancurv From Qdec,,,,,,,,,lh_(rostralanteriorcingulate)MeanCurv,,,,,lh_rostralanteriorcingulate_meancurv,lh_rostralanteriorcingulate_meancurv,lh_rostralanteriorcingulate_meancurv,lh_rostralanteriorcingulate_meancurv,lh_rostralanteriorcingulate_meancurv,lh_rostralanteriorcingulate_meancurv,lh_rostralanteriorcingulate_meancurv,,,,,,,,,,,,,
Left Rostralmiddlefrontal Meancurv From Qdec,,,,,,,,,lh_(rostralmiddlefrontal)MeanCurv,,,,,lh_rostralmiddlefrontal_meancurv,lh_rostralmiddlefrontal_meancurv,lh_rostralmiddlefrontal_meancurv,lh_rostralmiddlefrontal_meancurv,lh_rostralmiddlefrontal_meancurv,lh_rostralmiddlefrontal_meancurv,lh_rostralmiddlefrontal_meancurv,,,,,,,,,,,,,
Left Superiorfrontal Meancurv From Qdec,,,,,,,,,lh_(superiorfrontal)MeanCurv,,,,,lh_superiorfrontal_meancurv,lh_superiorfrontal_meancurv,lh_superiorfrontal_meancurv,lh_superiorfrontal_meancurv,lh_superiorfrontal_meancurv,lh_superiorfrontal_meancurv,lh_superiorfrontal_meancurv,,,,,,,,,,,,,
Left Superiorparietal Meancurv From Qdec,,,,,,,,,lh_(superiorparietal)MeanCurv,,,,,lh_superiorparietal_meancurv,lh_superiorparietal_meancurv,lh_superiorparietal_meancurv,lh_superiorparietal_meancurv,lh_superiorparietal_meancurv,lh_superiorparietal_meancurv,lh_superiorparietal_meancurv,,,,,,,,,,,,,
Left Superiortemporal Meancurv From Qdec,,,,,,,,,lh_(superiortemporal)MeanCurv,,,,,lh_superiortemporal_meancurv,lh_superiortemporal_meancurv,lh_superiortemporal_meancurv,lh_superiortemporal_meancurv,lh_superiortemporal_meancurv,lh_superiortemporal_meancurv,lh_superiortemporal_meancurv,,,,,,,,,,,,,
Left Supramarginal Meancurv From Qdec,,,,,,,,,lh_(supramarginal)MeanCurv,,,,,lh_supramarginal_meancurv,lh_supramarginal_meancurv,lh_supramarginal_meancurv,lh_supramarginal_meancurv,lh_supramarginal_meancurv,lh_supramarginal_meancurv,lh_supramarginal_meancurv,,,,,,,,,,,,,
Left Frontalpole Meancurv From Qdec,,,,,,,,,lh_(frontalpole)MeanCurv,,,,,lh_frontalpole_meancurv,lh_frontalpole_meancurv,lh_frontalpole_meancurv,lh_frontalpole_meancurv,lh_frontalpole_meancurv,lh_frontalpole_meancurv,lh_frontalpole_meancurv,,,,,,,,,,,,,
Left Temporalpole Meancurv From Qdec,,,,,,,,,lh_(temporalpole)MeanCurv,,,,,lh_temporalpole_meancurv,lh_temporalpole_meancurv,lh_temporalpole_meancurv,lh_temporalpole_meancurv,lh_temporalpole_meancurv,lh_temporalpole_meancurv,lh_temporalpole_meancurv,,,,,,,,,,,,,
Left Transversetemporal Meancurv From Qdec,,,,,,,,,lh_(transversetemporal)MeanCurv,,,,,lh_transversetemporal_meancurv,lh_transversetemporal_meancurv,lh_transversetemporal_meancurv,lh_transversetemporal_meancurv,lh_transversetemporal_meancurv,lh_transversetemporal_meancurv,lh_transversetemporal_meancurv,,,,,,,,,,,,,
Left Insula Meancurv From Qdec,,,,,,,,,lh_(insula)MeanCurv,,,,,lh_insula_meancurv,lh_insula_meancurv,lh_insula_meancurv,lh_insula_meancurv,lh_insula_meancurv,lh_insula_meancurv,lh_insula_meancurv,,,,,,,,,,,,,
Left Sulcus And Gyrus Paracentral Area,,,,,,,,,(G_and_S_paracentral)SurfArea,,,,,lh_G_and_S_paracentral_area,lh_G_and_S_paracentral_area,lh_G_and_S_paracentral_area,lh_G_and_S_paracentral_area,lh_G_and_S_paracentral_area,lh_G_and_S_paracentral_area,lh_G_and_S_paracentral_area,,,,,,,,,,,,,
Left MeanThickness Thickness From Qdec,,,,,,lh_MeanThickness_thickness,,,,,,,,lh_MeanThickness_thickness,lh_MeanThickness_thickness,lh_MeanThickness_thickness,lh_MeanThickness_thickness,lh_MeanThickness_thickness,lh_MeanThickness_thickness,lh_MeanThickness_thickness,,,,,,,,,,,,,
Left Entorightinal Volume From Qdec aparc,,,,,,,,llentav,lh_(entorhinal)GrayVol,,,,,lh_entorhinal_volume,lh_entorhinal_volume,lh_entorhinal_volume,lh_entorhinal_volume,lh_entorhinal_volume,lh_entorhinal_volume,lh_entorhinal_volume,,,,,,,,,,,,,
Left Inferiorparietal Volume From Qdec aparc,,,,,,,,,lh_(inferiorparietal)GrayVol,,,,,lh_inferiorparietal_volume,lh_inferiorparietal_volume,lh_inferiorparietal_volume,lh_inferiorparietal_volume,lh_inferiorparietal_volume,lh_inferiorparietal_volume,lh_inferiorparietal_volume,,,,,,,,,,,,,
Left Inferiortemporal Volume From Qdec aparc,,,,,,,,llinftgv,lh_(inferiortemporal)GrayVol,,,,,lh_inferiortemporal_volume,lh_inferiortemporal_volume,lh_inferiortemporal_volume,lh_inferiortemporal_volume,lh_inferiortemporal_volume,lh_inferiortemporal_volume,lh_inferiortemporal_volume,,,,,,,,,,,,,
Left Isthmuscingulate Volume From Qdec aparc,,,,ST34CV,,,,,lh_(isthmuscingulate)GrayVol,,,,,lh_isthmuscingulate_volume,lh_isthmuscingulate_volume,lh_isthmuscingulate_volume,lh_isthmuscingulate_volume,lh_isthmuscingulate_volume,lh_isthmuscingulate_volume,lh_isthmuscingulate_volume,,,,,,,,,,,,,
Left Superiortemporal Volume From Qdec aparc,,,,,,,,,lh_(superiortemporal)GrayVol,,,,,lh_superiortemporal_volume,lh_superiortemporal_volume,lh_superiortemporal_volume,lh_superiortemporal_volume,lh_superiortemporal_volume,lh_superiortemporal_volume,lh_superiortemporal_volume,,,,,,,,,,,,,
Left Insula Volume From Qdec aparc,,,,,,,,,lh_(insula)GrayVol,,,,,lh_insula_volume,lh_insula_volume,lh_insula_volume,lh_insula_volume,lh_insula_volume,lh_insula_volume,lh_insula_volume,,,,,,,,,,,,,
Right Gyrus And Sulcus Frontomargin Area From Qdec,,,,,,,,,(G_and_S_frontomargin)SurfArea,,,,,rh_G_and_S_frontomargin_area,rh_G_and_S_frontomargin_area,rh_G_and_S_frontomargin_area,rh_G_and_S_frontomargin_area,rh_G_and_S_frontomargin_area,rh_G_and_S_frontomargin_area,rh_G_and_S_frontomargin_area,,,,,,,,,,,,,
Right Gyrus And Sulcus Occipital Inferior Area From Qdec,,,,,,,,,(G_and_S_occipital_inf)SurfArea,,,,,rh_G_and_S_occipital_inf_area,rh_G_and_S_occipital_inf_area,rh_G_and_S_occipital_inf_area,rh_G_and_S_occipital_inf_area,rh_G_and_S_occipital_inf_area,rh_G_and_S_occipital_inf_area,rh_G_and_S_occipital_inf_area,,,,,,,,,,,,,
Right Gyrus And Sulcus Paracentral Area From Qdec,,,,,,,,,(G_and_S_paracentral)SurfArea,,,,,rh_G_and_S_paracentral_area,rh_G_and_S_paracentral_area,rh_G_and_S_paracentral_area,rh_G_and_S_paracentral_area,rh_G_and_S_paracentral_area,rh_G_and_S_paracentral_area,rh_G_and_S_paracentral_area,,,,,,,,,,,,,
Right Gyrus And Sulcus Subcentral Area From Qdec,,,,,,,,,(G_and_S_subcentral)SurfArea,,,,,rh_G_and_S_subcentral_area,rh_G_and_S_subcentral_area,rh_G_and_S_subcentral_area,rh_G_and_S_subcentral_area,rh_G_and_S_subcentral_area,rh_G_and_S_subcentral_area,rh_G_and_S_subcentral_area,,,,,,,,,,,,,
Right Gyrus And Sulcus Transv Frontopol Area From Qdec,,,,,,,,,(G_and_S_transv_frontopol)SurfArea,,,,,rh_G_and_S_transv_frontopol_area,rh_G_and_S_transv_frontopol_area,rh_G_and_S_transv_frontopol_area,rh_G_and_S_transv_frontopol_area,rh_G_and_S_transv_frontopol_area,rh_G_and_S_transv_frontopol_area,rh_G_and_S_transv_frontopol_area,,,,,,,,,,,,,
Right Gyrus And Sulcus Cingul-Ant Area From Qdec,,,,,,,,,(G_and_S_cingul-Ant)SurfArea,,,,,rh_G_and_S_cingul-Ant_area,rh_G_and_S_cingul-Ant_area,rh_G_and_S_cingul-Ant_area,rh_G_and_S_cingul-Ant_area,rh_G_and_S_cingul-Ant_area,rh_G_and_S_cingul-Ant_area,rh_G_and_S_cingul-Ant_area,,,,,,,,,,,,,
Right Gyrus And Sulcus Cingul-Mid-Ant Area From Qdec,,,,,,,,,(G_and_S_cingul-Mid-Ant)SurfArea,,,,,rh_G_and_S_cingul-Mid-Ant_area,rh_G_and_S_cingul-Mid-Ant_area,rh_G_and_S_cingul-Mid-Ant_area,rh_G_and_S_cingul-Mid-Ant_area,rh_G_and_S_cingul-Mid-Ant_area,rh_G_and_S_cingul-Mid-Ant_area,rh_G_and_S_cingul-Mid-Ant_area,,,,,,,,,,,,,
Right Gyrus And Sulcus Cingul-Mid-Post Area From Qdec,,,,,,,,,(G_and_S_cingul-Mid-Post)SurfArea,,,,,rh_G_and_S_cingul-Mid-Post_area,rh_G_and_S_cingul-Mid-Post_area,rh_G_and_S_cingul-Mid-Post_area,rh_G_and_S_cingul-Mid-Post_area,rh_G_and_S_cingul-Mid-Post_area,rh_G_and_S_cingul-Mid-Post_area,rh_G_and_S_cingul-Mid-Post_area,,,,,,,,,,,,,
Right Gyrus Cingul-Post-dorsal Area From Qdec,,,,,,,,,(G_cingul-Post-dorsal)SurfArea,,,,,rh_G_cingul-Post-dorsal_area,rh_G_cingul-Post-dorsal_area,rh_G_cingul-Post-dorsal_area,rh_G_cingul-Post-dorsal_area,rh_G_cingul-Post-dorsal_area,rh_G_cingul-Post-dorsal_area,rh_G_cingul-Post-dorsal_area,,,,,,,,,,,,,
Right Gyrus Cingul-Post-ventral Area From Qdec,,,,,,,,,(G_cingul-Post-ventral)SurfArea,,,,,rh_G_cingul-Post-ventral_area,rh_G_cingul-Post-ventral_area,rh_G_cingul-Post-ventral_area,rh_G_cingul-Post-ventral_area,rh_G_cingul-Post-ventral_area,rh_G_cingul-Post-ventral_area,rh_G_cingul-Post-ventral_area,,,,,,,,,,,,,
Right Gyrus Cuneus Area From Qdec,,,,,,,,,(G_cuneus)SurfArea,,,,,rh_G_cuneus_area,rh_G_cuneus_area,rh_G_cuneus_area,rh_G_cuneus_area,rh_G_cuneus_area,rh_G_cuneus_area,rh_G_cuneus_area,,,,,,,,,,,,,
Right Gyrus Frontal Inf-Opercular Area From Qdec,,,,,,,,,(G_front_inf-Opercular)SurfArea,,,,,rh_G_front_inf-Opercular_area,rh_G_front_inf-Opercular_area,rh_G_front_inf-Opercular_area,rh_G_front_inf-Opercular_area,rh_G_front_inf-Opercular_area,rh_G_front_inf-Opercular_area,rh_G_front_inf-Opercular_area,,,,,,,,,,,,,
Right Gyrus Frontal Inf-Orbital Area From Qdec,,,,,,,,,(G_front_inf-Orbital)SurfArea,,,,,rh_G_front_inf-Orbital_area,rh_G_front_inf-Orbital_area,rh_G_front_inf-Orbital_area,rh_G_front_inf-Orbital_area,rh_G_front_inf-Orbital_area,rh_G_front_inf-Orbital_area,rh_G_front_inf-Orbital_area,,,,,,,,,,,,,
Right Gyrus Frontal Inf-Triangul Area From Qdec,,,,,,,,,(G_front_inf-Triangul)SurfArea,,,,,rh_G_front_inf-Triangul_area,rh_G_front_inf-Triangul_area,rh_G_front_inf-Triangul_area,rh_G_front_inf-Triangul_area,rh_G_front_inf-Triangul_area,rh_G_front_inf-Triangul_area,rh_G_front_inf-Triangul_area,,,,,,,,,,,,,
Right Gyrus Frontal Middle Area From Qdec,,,,,,,,,(G_front_middle)SurfArea,,,,,rh_G_front_middle_area,rh_G_front_middle_area,rh_G_front_middle_area,rh_G_front_middle_area,rh_G_front_middle_area,rh_G_front_middle_area,rh_G_front_middle_area,,,,,,,,,,,,,
Right Gyrus Frontal Sup Area From Qdec,,,,,,,,,(G_front_sup)SurfArea,,,,,rh_G_front_sup_area,rh_G_front_sup_area,rh_G_front_sup_area,rh_G_front_sup_area,rh_G_front_sup_area,rh_G_front_sup_area,rh_G_front_sup_area,,,,,,,,,,,,,
Right Gyrus Ins Lg And Sulcus Cent Ins Area From Qdec,,,,,,,,,(G_Ins_lg_and_S_cent_ins)SurfArea,,,,,rh_G_Ins_lg_and_S_cent_ins_area,rh_G_Ins_lg_and_S_cent_ins_area,rh_G_Ins_lg_and_S_cent_ins_area,rh_G_Ins_lg_and_S_cent_ins_area,rh_G_Ins_lg_and_S_cent_ins_area,rh_G_Ins_lg_and_S_cent_ins_area,rh_G_Ins_lg_and_S_cent_ins_area,,,,,,,,,,,,,
Right Gyrus Insular Short Area From Qdec,,,,,,,,,(G_insular_short)SurfArea,,,,,rh_G_insular_short_area,rh_G_insular_short_area,rh_G_insular_short_area,rh_G_insular_short_area,rh_G_insular_short_area,rh_G_insular_short_area,rh_G_insular_short_area,,,,,,,,,,,,,
Right Gyrus Occipital Middle Area From Qdec,,,,,,,,,(G_occipital_middle)SurfArea,,,,,rh_G_occipital_middle_area,rh_G_occipital_middle_area,rh_G_occipital_middle_area,rh_G_occipital_middle_area,rh_G_occipital_middle_area,rh_G_occipital_middle_area,rh_G_occipital_middle_area,,,,,,,,,,,,,
Right Gyrus Occipital Sup Area From Qdec,,,,,,,,,(G_occipital_sup)SurfArea,,,,,rh_G_occipital_sup_area,rh_G_occipital_sup_area,rh_G_occipital_sup_area,rh_G_occipital_sup_area,rh_G_occipital_sup_area,rh_G_occipital_sup_area,rh_G_occipital_sup_area,,,,,,,,,,,,,
Right Gyrus Oc-temp Lat-fusifor Area From Qdec,,,,,,,,,(G_oc-temp_lat-fusifor)SurfArea,,,,,rh_G_oc-temp_lat-fusifor_area,rh_G_oc-temp_lat-fusifor_area,rh_G_oc-temp_lat-fusifor_area,rh_G_oc-temp_lat-fusifor_area,rh_G_oc-temp_lat-fusifor_area,rh_G_oc-temp_lat-fusifor_area,rh_G_oc-temp_lat-fusifor_area,,,,,,,,,,,,,
Right Gyrus Oc-temp Med-Lingual Area From Qdec,,,,,,,,,(G_oc-temp_med-Lingual)SurfArea,,,,,rh_G_oc-temp_med-Lingual_area,rh_G_oc-temp_med-Lingual_area,rh_G_oc-temp_med-Lingual_area,rh_G_oc-temp_med-Lingual_area,rh_G_oc-temp_med-Lingual_area,rh_G_oc-temp_med-Lingual_area,rh_G_oc-temp_med-Lingual_area,,,,,,,,,,,,,
Right Gyrus Oc-temp Med-Parahip Area From Qdec,,,,,,,,,(G_oc-temp_med-Parahip)SurfArea,,,,,rh_G_oc-temp_med-Parahip_area,rh_G_oc-temp_med-Parahip_area,rh_G_oc-temp_med-Parahip_area,rh_G_oc-temp_med-Parahip_area,rh_G_oc-temp_med-Parahip_area,rh_G_oc-temp_med-Parahip_area,rh_G_oc-temp_med-Parahip_area,,,,,,,,,,,,,
Right Gyrus Orbital Area From Qdec,,,,,,,,,(G_orbital)SurfArea,,,,,rh_G_orbital_area,rh_G_orbital_area,rh_G_orbital_area,rh_G_orbital_area,rh_G_orbital_area,rh_G_orbital_area,rh_G_orbital_area,,,,,,,,,,,,,
Right Gyrus Pariet Inf-Angular Area From Qdec,,,,,,,,,(G_pariet_inf-Angular)SurfArea,,,,,rh_G_pariet_inf-Angular_area,rh_G_pariet_inf-Angular_area,rh_G_pariet_inf-Angular_area,rh_G_pariet_inf-Angular_area,rh_G_pariet_inf-Angular_area,rh_G_pariet_inf-Angular_area,rh_G_pariet_inf-Angular_area,,,,,,,,,,,,,
Right Gyrus Pariet Inf-Supramar Area From Qdec,,,,,,,,,(G_pariet_inf-Supramar)SurfArea,,,,,rh_G_pariet_inf-Supramar_area,rh_G_pariet_inf-Supramar_area,rh_G_pariet_inf-Supramar_area,rh_G_pariet_inf-Supramar_area,rh_G_pariet_inf-Supramar_area,rh_G_pariet_inf-Supramar_area,rh_G_pariet_inf-Supramar_area,,,,,,,,,,,,,
Right Gyrus Parietal Sup Area From Qdec,,,,,,,,,(G_parietal_sup)SurfArea,,,,,rh_G_parietal_sup_area,rh_G_parietal_sup_area,rh_G_parietal_sup_area,rh_G_parietal_sup_area,rh_G_parietal_sup_area,rh_G_parietal_sup_area,rh_G_parietal_sup_area,,,,,,,,,,,,,
Right Gyrus Postcentral Area From Qdec,,,,,,,,,(G_postcentral)SurfArea,,,,,rh_G_postcentral_area,rh_G_postcentral_area,rh_G_postcentral_area,rh_G_postcentral_area,rh_G_postcentral_area,rh_G_postcentral_area,rh_G_postcentral_area,,,,,,,,,,,,,
Right Gyrus Precentral Area From Qdec,,,,,,,,,(G_precentral)SurfArea,,,,,rh_G_precentral_area,rh_G_precentral_area,rh_G_precentral_area,rh_G_precentral_area,rh_G_precentral_area,rh_G_precentral_area,rh_G_precentral_area,,,,,,,,,,,,,
Right Gyrus Precuneus Area From Qdec,,,,,,,,,(G_precuneus)SurfArea,,,,,rh_G_precuneus_area,rh_G_precuneus_area,rh_G_precuneus_area,rh_G_precuneus_area,rh_G_precuneus_area,rh_G_precuneus_area,rh_G_precuneus_area,,,,,,,,,,,,,
Right Gyrus Rectus Area From Qdec,,,,,,,,,(G_rectus)SurfArea,,,,,rh_G_rectus_area,rh_G_rectus_area,rh_G_rectus_area,rh_G_rectus_area,rh_G_rectus_area,rh_G_rectus_area,rh_G_rectus_area,,,,,,,,,,,,,
Right Gyrus Subcallosal Area From Qdec,,,,,,,,,(G_subcallosal)SurfArea,,,,,rh_G_subcallosal_area,rh_G_subcallosal_area,rh_G_subcallosal_area,rh_G_subcallosal_area,rh_G_subcallosal_area,rh_G_subcallosal_area,rh_G_subcallosal_area,,,,,,,,,,,,,
Right Gyrus Temp Sup-G T Transv Area From Qdec,,,,,,,,,(G_temp_sup-G_T_transv)SurfArea,,,,,rh_G_temp_sup-G_T_transv_area,rh_G_temp_sup-G_T_transv_area,rh_G_temp_sup-G_T_transv_area,rh_G_temp_sup-G_T_transv_area,rh_G_temp_sup-G_T_transv_area,rh_G_temp_sup-G_T_transv_area,rh_G_temp_sup-G_T_transv_area,,,,,,,,,,,,,
Right Gyrus Temp Sup-Lateral Area From Qdec,,,,,,,,,(G_temp_sup-Lateral)SurfArea,,,,,rh_G_temp_sup-Lateral_area,rh_G_temp_sup-Lateral_area,rh_G_temp_sup-Lateral_area,rh_G_temp_sup-Lateral_area,rh_G_temp_sup-Lateral_area,rh_G_temp_sup-Lateral_area,rh_G_temp_sup-Lateral_area,,,,,,,,,,,,,
Right Gyrus Temp Sup-Plan Polar Area From Qdec,,,,,,,,,(G_temp_sup-Plan_polar)SurfArea,,,,,rh_G_temp_sup-Plan_polar_area,rh_G_temp_sup-Plan_polar_area,rh_G_temp_sup-Plan_polar_area,rh_G_temp_sup-Plan_polar_area,rh_G_temp_sup-Plan_polar_area,rh_G_temp_sup-Plan_polar_area,rh_G_temp_sup-Plan_polar_area,,,,,,,,,,,,,
Right Gyrus Temp Sup-Plan Tempo Area From Qdec,,,,,,,,,(G_temp_sup-Plan_tempo)SurfArea,,,,,rh_G_temp_sup-Plan_tempo_area,rh_G_temp_sup-Plan_tempo_area,rh_G_temp_sup-Plan_tempo_area,rh_G_temp_sup-Plan_tempo_area,rh_G_temp_sup-Plan_tempo_area,rh_G_temp_sup-Plan_tempo_area,rh_G_temp_sup-Plan_tempo_area,,,,,,,,,,,,,
Right Gyrus Temporal Inferior Area From Qdec,UBERON:0002751,,,,,,,,(G_temporal_inf)SurfArea,,,,,rh_G_temporal_inf_area,rh_G_temporal_inf_area,rh_G_temporal_inf_area,rh_G_temporal_inf_area,rh_G_temporal_inf_area,rh_G_temporal_inf_area,rh_G_temporal_inf_area,,,,,,,,,,,,,
